score,K,weight,p
0.8744093509077344,2,uniform,1
0.8361104202934594,2,uniform,2
0.7836359114648097,2,uniform,3
0.8650833126088038,2,distance,1
0.8177070380502363,2,distance,2
0.7519273812484457,2,distance,3
0.8270330763491669,3,uniform,1
0.7535438945535936,3,uniform,2
0.6734643123601094,3,uniform,3
0.8311365332006964,3,distance,1
0.7610047251927381,3,distance,2
0.6851529470281025,3,distance,3
0.8397164884357126,4,uniform,1
0.7735637901019646,4,uniform,2
0.7090276050733648,4,uniform,3
0.8357373787615021,4,distance,1
0.76747077841333,4,distance,2
0.692738124844566,4,distance,3
0.8011688634667993,5,uniform,1
0.7094006466053221,5,uniform,2
0.6299428002984332,5,uniform,3
0.8088783884605819,5,distance,1
0.7243223078836111,5,distance,2
0.6499626958468043,5,distance,3
0.8163392190997264,6,uniform,1
0.7276796816712261,6,uniform,2
0.6575478736632678,6,uniform,3
0.8163392190997264,6,distance,1
0.7281770703805024,6,distance,2
0.6514548619746332,6,distance,3
0.7787863715493658,7,uniform,1
0.6678686893807511,7,uniform,2
0.5904003979109674,7,uniform,3
0.7954488933101218,7,distance,1
0.6901268341208655,7,distance,2
0.6167619995026112,7,distance,3
0.7963193235513554,8,uniform,1
0.6856503357373788,8,uniform,2
0.6150211390201442,8,uniform,3
0.7984332255657797,8,distance,1
0.6923650833126088,8,distance,2
0.6171350410345685,8,distance,3
0.7598856005968665,9,uniform,1
0.634543645859239,9,uniform,2
0.5571997015667745,9,uniform,3
0.7835115642874907,9,distance,1
0.6609052474508829,9,distance,2
0.5853021636408854,9,distance,3
0.7786620243720468,10,uniform,1
0.6519522506839095,10,uniform,2
0.5785874160656553,10,uniform,3
0.7837602586421288,10,distance,1
0.6630191494653072,10,distance,2
0.5875404128326287,10,distance,3
0.744217856254663,11,uniform,1
0.609549863218105,11,uniform,2
0.5338224322307884,11,uniform,3
0.7720716239741358,11,distance,1
0.6374036309375777,11,distance,2
0.5630440189007709,11,distance,3
0.7621238497886098,12,uniform,1
0.6268341208654563,12,uniform,2
0.5517284257647351,12,uniform,3
0.7718229296194976,12,distance,1
0.6397662273066401,12,distance,2
0.5640387963193235,12,distance,3
0.7371300671474758,13,uniform,1
0.5887838846058194,13,uniform,2
0.5108182044267595,13,uniform,3
0.7633673215618005,13,distance,1
0.6198706789355881,13,distance,2
0.5417806515792092,13,distance,3
0.7547873663267843,14,uniform,1
0.6074359612036807,14,uniform,2
0.5281024620741109,14,uniform,3
0.7627455856752051,14,distance,1
0.6207411091768217,14,distance,2
0.5420293459338473,14,distance,3
